,match,bowlingTeam,bowler,overs,maiden,runs,wicktes,economy,zeros,fours,sixex,wides,noBalls
190,Netherlands Vs Pakistan,Netherlands,Shaheen Shah Afridi,4,0,19,1,4.75,13,1,0,1,0
191,Netherlands Vs Pakistan,Netherlands,Naseem Shah,4,0,11,1,2.75,15,0,0,0,0
192,Netherlands Vs Pakistan,Netherlands,Mohammad Wasim,3,0,15,2,5.00,10,1,0,1,0
193,Netherlands Vs Pakistan,Netherlands,Haris Rauf,3,0,10,1,3.33,11,1,0,0,0
194,Netherlands Vs Pakistan,Netherlands,Shadab Khan,4,0,22,3,5.50,11,2,0,0,0
195,Netherlands Vs Pakistan,Netherlands,Mohammad Nawaz,2,0,11,0,5.50,3,0,0,0,0
196,Netherlands Vs Pakistan,Pakistan,Fred Klaassen,3,0,26,0,8.66,4,3,0,0,0
197,Netherlands Vs Pakistan,Pakistan,Paul van Meekeren,4,0,19,1,4.75,15,2,0,0,0
198,Netherlands Vs Pakistan,Pakistan,Brandon Glover,2.5,0,22,2,7.76,9,3,0,0,0
199,Netherlands Vs Pakistan,Pakistan,Tim Pringle,1,0,12,0,12.00,1,2,0,0,0
200,Netherlands Vs Pakistan,Pakistan,Logan van Beek,2,0,9,0,4.50,5,0,0,0,0
201,Netherlands Vs Pakistan,Pakistan,Roelof van der Merwe,1,0,7,0,7.00,1,0,0,0,0
202,Bangladesh Vs Zimbabwe,Bangladesh,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0
203,Bangladesh Vs Zimbabwe,Bangladesh,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0
204,Bangladesh Vs Zimbabwe,Bangladesh,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0
205,Bangladesh Vs Zimbabwe,Bangladesh,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0
206,Bangladesh Vs Zimbabwe,Bangladesh,Brad Evans,3,0,32,0,10.66,2,3,1,1,0
207,Bangladesh Vs Zimbabwe,Bangladesh,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0
